"Time","monitor_lido_deposited_events_number{instance=""dot-monitor.prod.lido.mixbytes.io:80"", job=""monitor""}"
2022-06-30 02:00:00,578
2022-06-30 04:00:00,578
2022-06-30 06:00:00,578
2022-06-30 08:00:00,579
2022-06-30 10:00:00,579
2022-06-30 12:00:00,580
2022-06-30 14:00:00,582
2022-06-30 16:00:00,584
2022-06-30 18:00:00,586
2022-06-30 20:00:00,588
2022-06-30 22:00:00,589
2022-07-01 00:00:00,589
2022-07-01 02:00:00,589
2022-07-01 04:00:00,589
2022-07-01 06:00:00,589
2022-07-01 08:00:00,589
2022-07-01 10:00:00,591
2022-07-01 12:00:00,591
2022-07-01 14:00:00,592
2022-07-01 16:00:00,592
2022-07-01 18:00:00,594
2022-07-01 20:00:00,595
2022-07-01 22:00:00,595
2022-07-02 00:00:00,595
2022-07-02 02:00:00,595
2022-07-02 04:00:00,596
2022-07-02 06:00:00,598
2022-07-02 08:00:00,599
2022-07-02 10:00:00,600
2022-07-02 12:00:00,602
2022-07-02 14:00:00,602
2022-07-02 16:00:00,604
2022-07-02 18:00:00,607
2022-07-02 20:00:00,608
2022-07-02 22:00:00,610
2022-07-03 00:00:00,611
2022-07-03 02:00:00,612
2022-07-03 04:00:00,613
2022-07-03 06:00:00,614
2022-07-03 08:00:00,615
2022-07-03 10:00:00,615
2022-07-03 12:00:00,616
2022-07-03 14:00:00,616
2022-07-03 16:00:00,618
2022-07-03 18:00:00,618
2022-07-03 20:00:00,620
2022-07-03 22:00:00,620
2022-07-04 00:00:00,621
2022-07-04 02:00:00,625
2022-07-04 04:00:00,625
2022-07-04 06:00:00,625
2022-07-04 08:00:00,626
2022-07-04 10:00:00,626
2022-07-04 12:00:00,626
2022-07-04 14:00:00,629
2022-07-04 16:00:00,633
2022-07-04 18:00:00,634
2022-07-04 20:00:00,635
2022-07-04 22:00:00,638
2022-07-05 00:00:00,639
2022-07-05 02:00:00,639
2022-07-05 04:00:00,640
2022-07-05 06:00:00,642
2022-07-05 08:00:00,644
2022-07-05 10:00:00,645
2022-07-05 12:00:00,646
2022-07-05 14:00:00,649
2022-07-05 16:00:00,650
2022-07-05 18:00:00,651
2022-07-05 20:00:00,654
2022-07-05 22:00:00,656
2022-07-06 00:00:00,657
2022-07-06 02:00:00,658
2022-07-06 04:00:00,659
2022-07-06 06:00:00,661
2022-07-06 08:00:00,661
2022-07-06 10:00:00,662
2022-07-06 12:00:00,662
2022-07-06 14:00:00,663
2022-07-06 16:00:00,663
2022-07-06 18:00:00,664
2022-07-06 20:00:00,665
2022-07-06 22:00:00,665
2022-07-07 00:00:00,667
2022-07-07 02:00:00,668
2022-07-07 04:00:00,669
2022-07-07 06:00:00,670
2022-07-07 08:00:00,670
2022-07-07 10:00:00,670
2022-07-07 12:00:00,670
2022-07-07 14:00:00,670
2022-07-07 16:00:00,672
2022-07-07 18:00:00,672
2022-07-07 20:00:00,672
2022-07-07 22:00:00,672
2022-07-08 00:00:00,673
2022-07-08 02:00:00,673
2022-07-08 04:00:00,674
2022-07-08 06:00:00,674
2022-07-08 08:00:00,674
2022-07-08 10:00:00,675
2022-07-08 12:00:00,675
2022-07-08 14:00:00,679
2022-07-08 16:00:00,680
2022-07-08 18:00:00,681
2022-07-08 20:00:00,682
2022-07-08 22:00:00,683
2022-07-09 00:00:00,683
2022-07-09 02:00:00,683
2022-07-09 04:00:00,683
2022-07-09 06:00:00,683
2022-07-09 08:00:00,683
2022-07-09 10:00:00,683
2022-07-09 12:00:00,683
2022-07-09 14:00:00,683
