"Time","monitor_lido_deposited_events_number{instance=""ksm-monitor.prod.lido.mixbytes.io:80"", job=""monitor""}"
2022-06-30 00:00:00,1904
2022-06-30 02:00:00,1904
2022-06-30 04:00:00,1905
2022-06-30 06:00:00,1905
2022-06-30 08:00:00,1905
2022-06-30 10:00:00,1907
2022-06-30 12:00:00,1907
2022-06-30 14:00:00,1908
2022-06-30 16:00:00,1908
2022-06-30 18:00:00,1908
2022-06-30 20:00:00,1908
2022-06-30 22:00:00,1908
2022-07-01 00:00:00,1908
2022-07-01 02:00:00,1908
2022-07-01 04:00:00,1910
2022-07-01 06:00:00,1911
2022-07-01 08:00:00,1911
2022-07-01 10:00:00,1911
2022-07-01 12:00:00,1911
2022-07-01 14:00:00,1911
2022-07-01 16:00:00,1912
2022-07-01 18:00:00,1912
2022-07-01 20:00:00,1913
2022-07-01 22:00:00,1914
2022-07-02 00:00:00,1914
2022-07-02 02:00:00,1914
2022-07-02 04:00:00,1914
2022-07-02 06:00:00,1918
2022-07-02 08:00:00,1919
2022-07-02 10:00:00,1919
2022-07-02 12:00:00,1920
2022-07-02 14:00:00,1920
2022-07-02 16:00:00,1920
2022-07-02 18:00:00,1922
2022-07-02 20:00:00,1922
2022-07-02 22:00:00,1923
2022-07-03 00:00:00,1924
2022-07-03 02:00:00,1924
2022-07-03 04:00:00,1924
2022-07-03 06:00:00,1924
2022-07-03 08:00:00,1925
2022-07-03 10:00:00,1925
2022-07-03 12:00:00,1925
2022-07-03 14:00:00,1926
2022-07-03 16:00:00,1926
2022-07-03 18:00:00,1926
2022-07-03 20:00:00,1926
2022-07-03 22:00:00,1928
2022-07-04 00:00:00,1932
2022-07-04 02:00:00,1932
2022-07-04 04:00:00,1932
2022-07-04 06:00:00,1932
2022-07-04 08:00:00,1932
2022-07-04 10:00:00,1932
2022-07-04 12:00:00,1932
2022-07-04 14:00:00,1937
2022-07-04 16:00:00,1938
2022-07-04 18:00:00,1938
2022-07-04 20:00:00,1938
2022-07-05 00:00:00,1940
2022-07-05 02:00:00,1941
2022-07-05 04:00:00,1942
2022-07-05 08:00:00,1942
2022-07-05 10:00:00,1942
2022-07-05 12:00:00,1942
2022-07-05 14:00:00,1942
2022-07-05 16:00:00,1942
2022-07-05 18:00:00,1943
2022-07-05 20:00:00,1943
2022-07-05 22:00:00,1944
2022-07-06 00:00:00,1944
2022-07-06 02:00:00,1946
2022-07-06 12:00:00,1950
2022-07-06 14:00:00,1950
2022-07-06 16:00:00,1950
2022-07-06 20:00:00,1951
2022-07-06 22:00:00,1954
2022-07-07 00:00:00,1955
2022-07-07 12:00:00,1955
2022-07-07 14:00:00,1955
2022-07-07 16:00:00,1957
2022-07-07 18:00:00,1960
2022-07-07 20:00:00,1962
2022-07-07 22:00:00,1963
2022-07-08 00:00:00,1964
2022-07-08 02:00:00,1970
2022-07-08 04:00:00,1970
2022-07-08 06:00:00,1972
